"JHR","Johor"                                       // checked
"KDH","Kedah"                                       // checked
"KTN","Kelantan"                                    // checked
"KUL","Wilayah Persekutuan Kuala Lumpur"            // checked
"LBN","Wilayah Persekutuan Labuan"                  // checked
"MLK","Melaka"                                      // checked
"NSN","Negeri Sembilan"                             // checked
"PHG","Pahang"                                      // checked
"PJY","Wilayah Persekutuan Putra Jaya"              // checked
"PLS","Perlis"                                      // checked
"PNG","Pulau Pinang"                                // checked
"PRK","Perak"                                       // checked
"SBH","Sabah"                                       // checked
"SGR","Selangor"                                    // checked
"SRW","Sarawak"                                     // checked
"TRG","Terengganu"                                  // checked
